SR Number,Activities,Change Date+Time
1-503573772,Accepted + In Progress,2012-03-21 16:21:44+01:00
1-503573772,Accepted + In Progress,2012-03-26 10:55:35+01:00
1-503573772,Queued + Awaiting Assignment,2012-03-26 10:57:04+01:00
1-503573772,Accepted + In Progress,2012-04-03 14:29:44+01:00
1-503573772,Accepted + Wait,2012-04-03 14:29:49+01:00
1-503573772,Accepted + In Progress,2012-05-04 07:58:20+01:00
1-503573772,Completed + Resolved,2012-05-04 07:59:39+01:00
1-503573772,Completed + Closed,2012-05-12 00:21:31+01:00
1-504538555,Accepted + In Progress,2011-02-28 14:13:33+01:00
1-504538555,Accepted + In Progress,2011-02-28 14:13:40+01:00
1-504538555,Queued + Awaiting Assignment,2011-02-28 14:17:09+01:00
1-504538555,Accepted + In Progress,2011-03-01 15:59:36+01:00
1-504538555,Queued + Awaiting Assignment,2011-03-01 16:00:16+01:00
1-504538555,Accepted + In Progress,2011-03-01 18:34:25+01:00
1-504538555,Accepted + Assigned,2011-03-01 18:46:00+01:00
1-504538555,Accepted + In Progress,2011-03-02 07:42:49+01:00
1-504538555,Queued + Awaiting Assignment,2011-03-02 07:44:11+01:00
1-504538555,Accepted + In Progress,2011-05-04 17:08:55+01:00
1-504538555,Queued + Awaiting Assignment,2012-03-13 10:53:43+01:00
1-504538555,Accepted + In Progress,2012-03-13 11:11:24+01:00
1-504538555,Queued + Awaiting Assignment,2012-03-13 11:27:20+01:00
1-504538555,Accepted + In Progress,2012-04-03 14:59:27+01:00
1-504538555,Accepted + Wait - Implementation,2012-04-04 14:53:31+01:00
1-504538555,Accepted + In Progress,2012-04-04 14:54:40+01:00
1-504538555,Accepted + In Progress,2012-05-04 07:55:03+01:00
1-504538555,Completed + Resolved,2012-05-04 07:57:02+01:00
1-504538555,Completed + Closed,2012-05-12 00:21:30+01:00
1-506071646,Accepted + In Progress,2011-03-07 10:42:08+01:00
1-506071646,Accepted + In Progress,2011-03-07 10:44:43+01:00
1-506071646,Accepted + In Progress,2011-03-07 10:51:59+01:00
1-506071646,Queued + Awaiting Assignment,2011-03-07 10:52:51+01:00
1-506071646,Accepted + In Progress,2011-03-07 11:48:31+01:00
1-506071646,Queued + Awaiting Assignment,2011-03-07 11:55:20+01:00
1-506071646,Accepted + In Progress,2011-03-07 12:03:37+01:00
1-506071646,Accepted + Wait - User,2011-03-07 12:04:35+01:00
1-506071646,Accepted + In Progress,2011-03-07 13:22:56+01:00
1-506071646,Queued + Awaiting Assignment,2011-03-07 13:24:38+01:00
1-506071646,Accepted + In Progress,2011-03-07 14:13:15+01:00
1-506071646,Queued + Awaiting Assignment,2011-03-07 14:13:58+01:00
1-506071646,Accepted + In Progress,2011-03-08 06:53:06+01:00
1-506071646,Queued + Awaiting Assignment,2011-03-08 06:55:54+01:00
1-506071646,Accepted + In Progress,2011-03-08 09:16:24+01:00
1-506071646,Queued + Awaiting Assignment,2011-03-08 09:18:18+01:00
1-506071646,Accepted + In Progress,2011-03-08 09:20:32+01:00
1-506071646,Accepted + Wait - User,2011-03-08 09:22:46+01:00
1-506071646,Accepted + In Progress,2011-03-09 07:16:14+01:00
1-506071646,Queued + Awaiting Assignment,2011-03-09 07:17:16+01:00
1-506071646,Accepted + In Progress,2011-03-09 17:03:41+01:00
1-506071646,Queued + Awaiting Assignment,2011-03-09 17:05:12+01:00
1-506071646,Accepted + In Progress,2011-03-10 12:29:05+01:00
1-506071646,Accepted + Wait - User,2011-03-10 12:47:33+01:00
1-506071646,Accepted + In Progress,2011-03-14 10:19:53+01:00
1-506071646,Accepted + Assigned,2011-03-14 10:28:30+01:00
1-506071646,Accepted + In Progress,2011-03-14 10:28:35+01:00
1-506071646,Queued + Awaiting Assignment,2011-03-14 10:29:13+01:00
1-506071646,Accepted + In Progress,2011-03-14 10:30:27+01:00
1-506071646,Queued + Awaiting Assignment,2011-03-14 10:37:19+01:00
1-506071646,Accepted + In Progress,2011-03-15 10:41:17+01:00
1-506071646,Queued + Awaiting Assignment,2011-03-15 10:53:36+01:00
1-506071646,Accepted + In Progress,2011-03-15 11:00:18+01:00
1-506071646,Queued + Awaiting Assignment,2011-03-15 11:12:52+01:00
1-506071646,Accepted + In Progress,2011-03-15 11:21:49+01:00
1-506071646,Queued + Awaiting Assignment,2011-03-15 11:23:58+01:00
1-506071646,Accepted + In Progress,2011-03-15 11:27:28+01:00
1-506071646,Accepted + Wait - User,2011-03-15 11:33:30+01:00
1-506071646,Accepted + In Progress,2011-03-15 12:38:16+01:00
1-506071646,Accepted + Wait - User,2011-03-15 14:39:01+01:00
1-506071646,Accepted + In Progress,2011-03-23 10:13:28+01:00
1-506071646,Accepted + In Progress,2011-03-23 10:13:29+01:00
1-506071646,Accepted + Wait - User,2011-03-23 10:17:21+01:00
1-506071646,Accepted + In Progress,2011-03-24 10:12:18+01:00
1-506071646,Queued + Awaiting Assignment,2011-03-24 10:13:25+01:00
1-506071646,Accepted + In Progress,2011-03-24 13:20:10+01:00
1-506071646,Queued + Awaiting Assignment,2011-03-24 13:20:46+01:00
1-506071646,Accepted + In Progress,2011-03-24 17:50:30+01:00
1-506071646,Queued + Awaiting Assignment,2011-03-24 17:54:55+01:00
1-506071646,Accepted + In Progress,2011-05-04 17:36:03+01:00
1-506071646,Queued + Awaiting Assignment,2011-05-23 13:52:07+01:00
1-506071646,Accepted + In Progress,2011-05-24 14:02:14+01:00
1-506071646,Accepted + Wait - User,2011-05-24 16:16:36+01:00
1-506071646,Accepted + In Progress,2011-05-25 15:25:09+01:00
1-506071646,Accepted + In Progress,2011-05-26 13:52:07+01:00
1-506071646,Accepted + Wait - User,2011-05-26 15:20:06+01:00
1-506071646,Accepted + In Progress,2011-05-26 15:21:36+01:00
1-506071646,Queued + Awaiting Assignment,2011-05-26 15:21:59+01:00
1-506071646,Accepted + In Progress,2011-07-20 14:55:42+01:00
1-506071646,Accepted + In Progress,2012-05-04 08:00:07+01:00
1-506071646,Completed + Resolved,2012-05-04 08:01:21+01:00
1-506071646,Completed + Closed,2012-05-12 00:21:30+01:00
1-512795200,Accepted + In Progress,2011-04-04 15:51:24+01:00
1-512795200,Accepted + In Progress,2011-04-04 15:52:15+01:00
1-512795200,Queued + Awaiting Assignment,2011-04-04 15:58:11+01:00
1-512795200,Accepted + In Progress,2011-04-04 16:11:27+01:00
1-512795200,Accepted + Assigned,2011-04-04 16:11:37+01:00
1-512795200,Accepted + In Progress,2011-04-04 16:18:04+01:00
1-512795200,Accepted + Wait - User,2011-04-04 16:24:46+01:00
1-512795200,Completed + Resolved,2011-04-08 10:42:53+01:00
1-512795200,Accepted + Assigned,2011-04-11 17:53:52+01:00
1-512795200,Accepted + In Progress,2011-04-11 17:56:47+01:00
1-512795200,Queued + Awaiting Assignment,2011-04-11 17:57:06+01:00
1-512795200,Accepted + In Progress,2011-04-12 07:21:26+01:00
1-512795200,Accepted + Assigned,2011-04-12 07:22:36+01:00
1-512795200,Accepted + In Progress,2011-04-12 08:12:13+01:00
1-512795200,Accepted + Wait - User,2011-04-12 08:12:19+01:00
1-512795200,Accepted + In Progress,2011-05-31 09:39:43+01:00
1-512795200,Accepted + Wait - User,2011-05-31 09:39:48+01:00
1-512795200,Accepted + Assigned,2011-10-28 14:22:35+01:00
1-512795200,Accepted + In Progress,2011-10-31 08:06:01+01:00
1-512795200,Accepted + Wait - User,2011-10-31 08:06:05+01:00
1-512795200,Accepted + Assigned,2011-12-09 11:24:12+01:00
1-512795200,Accepted + In Progress,2011-12-09 15:00:24+01:00
1-512795200,Accepted + Wait - User,2011-12-09 15:00:29+01:00
1-512795200,Accepted + In Progress,2012-03-12 10:03:11+01:00
1-512795200,Accepted + Wait - User,2012-03-12 10:03:15+01:00
1-512795200,Accepted + Assigned,2012-03-19 13:15:59+01:00
1-512795200,Accepted + In Progress,2012-03-19 14:21:01+01:00
1-512795200,Accepted + Assigned,2012-03-19 14:23:52+01:00
1-512795200,Accepted + In Progress,2012-03-20 09:32:27+01:00
1-512795200,Accepted + Wait - User,2012-03-20 09:32:53+01:00
1-512795200,Completed + Resolved,2012-05-02 15:01:42+01:00
1-512795200,Completed + Closed,2012-05-10 00:20:47+01:00
1-516553982,Accepted + In Progress,2011-04-13 15:04:32+01:00
1-516553982,Accepted + In Progress,2011-04-13 15:05:38+01:00
1-516553982,Queued + Awaiting Assignment,2011-04-13 15:12:39+01:00
1-516553982,Accepted + In Progress,2011-04-19 13:23:12+01:00
1-516553982,Queued + Awaiting Assignment,2011-04-19 13:27:05+01:00
1-516553982,Accepted + In Progress,2011-04-19 13:57:53+01:00
1-516553982,Accepted + Wait - User,2011-04-19 14:01:16+01:00
1-516553982,Accepted + In Progress,2011-04-22 10:29:18+01:00
1-516553982,Accepted + Wait - User,2011-04-22 10:30:27+01:00
1-516553982,Accepted + In Progress,2011-04-27 17:38:48+01:00
1-516553982,Queued + Awaiting Assignment,2011-04-27 17:42:38+01:00
1-516553982,Accepted + In Progress,2011-04-28 10:06:05+01:00
1-516553982,Queued + Awaiting Assignment,2011-04-28 10:07:04+01:00
1-516553982,Accepted + In Progress,2011-04-28 11:02:04+01:00
1-516553982,Queued + Awaiting Assignment,2011-04-28 11:08:04+01:00
1-516553982,Accepted + In Progress,2011-05-11 14:31:55+01:00
1-516553982,Queued + Awaiting Assignment,2011-07-27 13:28:46+01:00
1-516553982,Accepted + In Progress,2011-08-16 16:42:06+01:00
1-516553982,Accepted + In Progress,2012-05-04 08:01:57+01:00
1-516553982,Completed + Resolved,2012-05-04 08:02:52+01:00
1-516553982,Completed + Closed,2012-05-12 00:21:30+01:00
1-522528740,Accepted + In Progress,2011-05-03 08:42:21+01:00
1-522528740,Accepted + In Progress,2011-05-03 08:42:31+01:00
1-522528740,Queued + Awaiting Assignment,2011-05-03 08:46:47+01:00
1-522528740,Accepted + In Progress,2011-05-03 09:44:47+01:00
1-522528740,Queued + Awaiting Assignment,2011-05-03 09:45:41+01:00
1-522528740,Accepted + In Progress,2011-05-03 11:05:52+01:00
1-522528740,Accepted + Assigned,2011-05-03 11:05:57+01:00
1-522528740,Accepted + In Progress,2011-05-03 12:20:46+01:00
1-522528740,Queued + Awaiting Assignment,2011-05-03 12:24:45+01:00
1-522528740,Accepted + In Progress,2011-05-11 14:39:42+01:00
1-522528740,Accepted + Wait - Implementation,2012-04-04 14:56:22+01:00
1-522528740,Accepted + In Progress,2012-05-04 08:03:26+01:00
1-522528740,Completed + Resolved,2012-05-04 08:06:01+01:00
1-522528740,Completed + Closed,2012-05-12 00:21:29+01:00
1-523391859,Accepted + In Progress,2011-05-05 14:47:54+01:00
1-523391859,Accepted + In Progress,2011-05-05 14:48:38+01:00
1-523391859,Accepted + Wait - Vendor,2011-05-05 15:01:23+01:00
1-523391859,Accepted + In Progress,2011-05-05 18:21:53+01:00
1-523391859,Accepted + Wait - User,2011-08-09 19:34:05+01:00
1-523391859,Accepted + In Progress,2012-03-07 15:26:40+01:00
1-523391859,Completed + Resolved,2012-05-03 13:49:21+01:00
1-523391859,Completed + Closed,2012-05-04 00:21:11+01:00
1-529067006,Accepted + In Progress,2011-05-26 14:57:29+01:00
1-529067006,Accepted + In Progress,2011-05-26 14:57:50+01:00
1-529067006,Queued + Awaiting Assignment,2011-05-26 15:07:31+01:00
1-529067006,Accepted + In Progress,2011-05-30 11:44:09+01:00
1-529067006,Queued + Awaiting Assignment,2011-05-30 11:46:01+01:00
1-529067006,Accepted + In Progress,2011-05-30 12:47:27+01:00
1-529067006,Accepted + Wait - User,2011-05-30 12:49:28+01:00
1-529067006,Accepted + In Progress,2011-05-31 06:30:30+01:00
1-529067006,Queued + Awaiting Assignment,2011-05-31 06:31:53+01:00
1-529067006,Accepted + In Progress,2011-05-31 09:02:29+01:00
1-529067006,Queued + Awaiting Assignment,2011-05-31 09:15:32+01:00
1-529067006,Accepted + In Progress,2011-05-31 09:16:56+01:00
1-529067006,Queued + Awaiting Assignment,2011-05-31 09:21:50+01:00
1-529067006,Accepted + In Progress,2011-07-06 15:51:06+01:00
1-529067006,Accepted + Assigned,2011-07-06 15:51:08+01:00
1-529067006,Accepted + In Progress,2011-07-20 13:39:07+01:00
1-529067006,Accepted + In Progress,2012-05-04 08:20:17+01:00
1-529067006,Completed + Resolved,2012-05-04 08:21:09+01:00
1-529067006,Completed + Closed,2012-05-12 00:21:29+01:00
1-529096847,Accepted + In Progress,2011-05-26 17:01:53+01:00
1-529096847,Accepted + In Progress,2011-05-26 17:02:23+01:00
1-529096847,Queued + Awaiting Assignment,2011-05-26 17:10:38+01:00
1-529096847,Accepted + In Progress,2011-05-30 11:46:17+01:00
1-529096847,Queued + Awaiting Assignment,2011-05-30 11:48:32+01:00
1-529096847,Accepted + In Progress,2011-05-30 11:52:42+01:00
1-529096847,Accepted + Wait - User,2011-05-30 11:57:50+01:00
1-529096847,Accepted + In Progress,2011-05-31 13:01:27+01:00
1-529096847,Queued + Awaiting Assignment,2011-05-31 13:03:30+01:00
1-529096847,Accepted + In Progress,2011-06-01 08:52:10+01:00
1-529096847,Accepted + Assigned,2011-06-01 08:52:25+01:00
1-529096847,Accepted + In Progress,2011-06-01 10:36:51+01:00
1-529096847,Queued + Awaiting Assignment,2011-06-01 10:37:06+01:00
1-529096847,Accepted + In Progress,2011-06-01 10:38:08+01:00
1-529096847,Accepted + Wait - User,2011-06-01 10:41:39+01:00
1-529096847,Accepted + In Progress,2011-06-01 11:09:35+01:00
1-529096847,Accepted + Wait - User,2011-06-01 11:11:02+01:00
1-529096847,Accepted + In Progress,2011-06-01 11:11:09+01:00
1-529096847,Queued + Awaiting Assignment,2011-06-01 11:11:26+01:00
1-529096847,Accepted + In Progress,2011-06-01 12:07:38+01:00
1-529096847,Accepted + Assigned,2011-06-01 12:07:50+01:00
1-529096847,Accepted + In Progress,2011-07-11 10:36:40+01:00
1-529096847,Queued + Awaiting Assignment,2011-07-11 10:58:50+01:00
1-529096847,Accepted + In Progress,2011-07-11 11:06:14+01:00
1-529096847,Accepted + Assigned,2011-07-11 11:06:18+01:00
1-529096847,Accepted + In Progress,2011-07-11 11:14:25+01:00
1-529096847,Accepted + Wait - User,2011-07-11 11:21:28+01:00
1-529096847,Accepted + Wait - User,2011-07-14 10:58:50+01:00
1-529096847,Accepted + Wait - User,2011-07-15 09:22:05+01:00
1-529096847,Accepted + Wait - User,2011-07-18 09:22:10+01:00
1-529096847,Accepted + In Progress,2011-07-25 13:43:58+01:00
1-529096847,Accepted + Wait,2011-07-25 13:44:03+01:00
1-529096847,Accepted + In Progress,2011-08-31 10:39:40+01:00
1-529096847,Queued + Awaiting Assignment,2011-08-31 10:41:40+01:00
1-529096847,Accepted + In Progress,2011-08-31 13:39:45+01:00
1-529096847,Queued + Awaiting Assignment,2011-08-31 13:40:02+01:00
1-529096847,Accepted + In Progress,2011-08-31 13:42:35+01:00
1-529096847,Queued + Awaiting Assignment,2011-08-31 13:51:27+01:00
1-529096847,Accepted + In Progress,2011-08-31 15:30:39+01:00
1-529096847,Queued + Awaiting Assignment,2011-08-31 15:30:52+01:00
1-529096847,Accepted + In Progress,2011-08-31 15:35:34+01:00
1-529096847,Accepted + Wait - User,2011-08-31 15:38:36+01:00
1-529096847,Accepted + In Progress,2011-08-31 15:49:06+01:00
1-529096847,Queued + Awaiting Assignment,2011-08-31 15:50:41+01:00
1-529096847,Accepted + In Progress,2011-08-31 16:41:51+01:00
1-529096847,Queued + Awaiting Assignment,2011-08-31 16:43:59+01:00
1-529096847,Accepted + In Progress,2011-08-31 16:46:46+01:00
1-529096847,Queued + Awaiting Assignment,2011-08-31 16:49:16+01:00
1-529096847,Accepted + In Progress,2011-09-16 17:00:17+01:00
1-529096847,Accepted + In Progress,2012-05-04 08:24:21+01:00
1-529096847,Completed + Resolved,2012-05-04 08:25:13+01:00
1-529096847,Completed + Closed,2012-05-12 00:21:29+01:00
1-530458987,Accepted + In Progress,2011-06-01 08:55:53+01:00
1-530458987,Accepted + In Progress,2011-06-01 08:58:17+01:00
1-530458987,Queued + Awaiting Assignment,2011-06-01 09:02:37+01:00
1-530458987,Accepted + In Progress,2011-06-06 13:51:13+01:00
1-530458987,Queued + Awaiting Assignment,2011-06-06 14:21:04+01:00
1-530458987,Accepted + In Progress,2011-06-07 13:04:41+01:00
1-530458987,Accepted + Wait - User,2011-06-07 13:08:14+01:00
1-530458987,Accepted + Wait - User,2011-06-09 14:21:05+01:00
1-530458987,Accepted + In Progress,2011-06-10 10:19:23+01:00
1-530458987,Queued + Awaiting Assignment,2011-06-10 10:21:07+01:00
1-530458987,Accepted + In Progress,2011-06-14 11:36:29+01:00
1-530458987,Queued + Awaiting Assignment,2011-06-14 15:06:36+01:00
1-530458987,Accepted + In Progress,2011-06-15 10:14:27+01:00
1-530458987,Accepted + Wait - User,2011-06-15 10:25:57+01:00
1-530458987,Accepted + In Progress,2011-06-15 13:55:06+01:00
1-530458987,Queued + Awaiting Assignment,2011-06-15 13:57:08+01:00
1-530458987,Accepted + In Progress,2011-06-16 10:43:41+01:00
1-530458987,Accepted + Assigned,2011-06-16 10:44:53+01:00
1-530458987,Accepted + In Progress,2011-06-22 16:38:39+01:00
1-530458987,Queued + Awaiting Assignment,2011-06-22 16:39:48+01:00
1-530458987,Accepted + In Progress,2011-06-22 17:22:56+01:00
1-530458987,Queued + Awaiting Assignment,2011-06-22 17:26:25+01:00
1-530458987,Accepted + In Progress,2011-07-06 15:48:02+01:00
1-530458987,Accepted + Assigned,2011-07-06 15:48:05+01:00
1-530458987,Accepted + In Progress,2011-07-20 13:34:41+01:00
1-530458987,Completed + Resolved,2012-04-06 10:12:33+01:00
1-530458987,Accepted + In Progress,2012-04-06 10:13:09+01:00
1-530458987,Accepted + Wait,2012-04-06 10:13:14+01:00
1-530458987,Accepted + In Progress,2012-05-04 08:25:45+01:00
1-530458987,Completed + Resolved,2012-05-04 08:26:18+01:00
1-530458987,Completed + Closed,2012-05-12 00:21:29+01:00
1-530772502,Accepted + In Progress,2011-06-02 08:22:45+01:00
1-530772502,Accepted + In Progress,2011-06-02 08:23:13+01:00
1-530772502,Queued + Awaiting Assignment,2011-06-02 08:36:23+01:00
1-530772502,Accepted + In Progress,2011-06-06 12:16:57+01:00
1-530772502,Queued + Awaiting Assignment,2011-06-06 12:17:50+01:00
1-530772502,Accepted + In Progress,2011-06-06 13:06:29+01:00
1-530772502,Queued + Awaiting Assignment,2011-06-06 13:08:54+01:00
1-530772502,Accepted + In Progress,2011-07-06 15:47:36+01:00
1-530772502,Accepted + Assigned,2011-07-06 15:47:39+01:00
1-530772502,Accepted + In Progress,2011-07-20 13:31:33+01:00
1-530772502,Queued + Awaiting Assignment,2012-04-19 17:05:54+01:00
1-530772502,Accepted + In Progress,2012-05-04 08:26:59+01:00
1-530772502,Completed + Resolved,2012-05-04 08:27:21+01:00
1-530772502,Completed + Closed,2012-05-12 00:21:29+01:00
1-530838254,Accepted + In Progress,2011-06-02 16:17:44+01:00
1-530838254,Accepted + In Progress,2011-06-02 16:24:37+01:00
1-530838254,Queued + Awaiting Assignment,2011-06-02 16:28:48+01:00
1-530838254,Accepted + In Progress,2011-06-06 11:54:51+01:00
1-530838254,Queued + Awaiting Assignment,2011-06-06 11:57:46+01:00
1-530838254,Accepted + In Progress,2011-06-06 12:23:05+01:00
1-530838254,Accepted + Wait - User,2011-06-06 12:25:31+01:00
1-530838254,Queued + Awaiting Assignment,2011-06-07 15:31:26+01:00
1-530838254,Queued + Awaiting Assignment,2011-06-07 15:31:27+01:00
1-530838254,Accepted + In Progress,2011-06-07 18:40:40+01:00
1-530838254,Accepted + Wait,2011-06-07 18:40:42+01:00
1-530838254,Accepted + In Progress,2011-07-06 15:45:09+01:00
1-530838254,Completed + Resolved,2011-07-06 15:45:50+01:00
1-530838254,Queued + Awaiting Assignment,2011-07-06 17:35:36+01:00
1-530838254,Accepted + In Progress,2011-07-06 17:51:44+01:00
1-530838254,Queued + Awaiting Assignment,2011-07-06 17:53:49+01:00
1-530838254,Accepted + In Progress,2011-07-06 17:53:53+01:00
1-530838254,Queued + Awaiting Assignment,2011-07-06 17:54:21+01:00
1-530838254,Accepted + In Progress,2011-07-07 08:54:32+01:00
1-530838254,Accepted + Assigned,2011-07-07 09:12:26+01:00
1-530838254,Accepted + In Progress,2011-07-07 14:25:52+01:00
1-530838254,Queued + Awaiting Assignment,2011-07-07 14:25:59+01:00
1-530838254,Accepted + In Progress,2011-07-07 14:26:47+01:00
1-530838254,Accepted + Assigned,2011-07-07 14:27:57+01:00
1-530838254,Accepted + In Progress,2011-07-07 15:49:37+01:00
1-530838254,Accepted + Wait - User,2011-07-07 15:58:09+01:00
1-530838254,Queued + Awaiting Assignment,2011-07-08 12:31:55+01:00
1-530838254,Accepted + In Progress,2011-07-08 13:16:14+01:00
1-530838254,Queued + Awaiting Assignment,2011-07-08 13:17:18+01:00
1-530838254,Accepted + In Progress,2011-07-08 13:17:21+01:00
1-530838254,Accepted + Assigned,2011-07-08 13:17:25+01:00
1-530838254,Accepted + In Progress,2011-07-11 10:55:00+01:00
1-530838254,Queued + Awaiting Assignment,2011-07-11 13:32:37+01:00
1-530838254,Accepted + In Progress,2011-07-11 13:41:23+01:00
1-530838254,Accepted + Assigned,2011-07-11 13:43:21+01:00
1-530838254,Accepted + Assigned,2011-07-14 13:32:37+01:00
1-530838254,Accepted + In Progress,2011-07-18 16:01:05+01:00
1-530838254,Queued + Awaiting Assignment,2011-07-18 16:01:42+01:00
1-530838254,Accepted + In Progress,2011-08-16 16:33:46+01:00
1-530838254,Accepted + Wait,2012-04-06 10:18:12+01:00
1-530838254,Accepted + In Progress,2012-05-04 08:27:48+01:00
1-530838254,Completed + Resolved,2012-05-04 08:28:43+01:00
1-530838254,Completed + Closed,2012-05-12 00:21:28+01:00
1-532109338,Accepted + In Progress,2011-06-08 13:58:15+01:00
1-532109338,Accepted + In Progress,2011-06-08 13:58:20+01:00
1-532109338,Queued + Awaiting Assignment,2011-06-08 14:02:01+01:00
1-532109338,Accepted + In Progress,2011-06-08 16:20:33+01:00
1-532109338,Queued + Awaiting Assignment,2011-06-08 16:21:14+01:00
1-532109338,Accepted + In Progress,2011-06-08 16:55:56+01:00
1-532109338,Queued + Awaiting Assignment,2011-06-09 09:34:50+01:00
1-532109338,Accepted + In Progress,2011-06-09 11:19:26+01:00
1-532109338,Accepted + Wait - User,2011-06-09 11:21:37+01:00
1-532109338,Queued + Awaiting Assignment,2011-06-09 17:54:41+01:00
1-532109338,Accepted + In Progress,2011-06-10 15:16:38+01:00
1-532109338,Queued + Awaiting Assignment,2011-06-10 15:29:07+01:00
1-532109338,Accepted + In Progress,2011-06-10 15:29:59+01:00
1-532109338,Queued + Awaiting Assignment,2011-06-10 15:31:48+01:00
1-532109338,Accepted + In Progress,2011-07-06 15:45:53+01:00
1-532109338,Accepted + Assigned,2011-07-06 15:45:56+01:00
1-532109338,Accepted + In Progress,2011-07-20 13:30:13+01:00
1-532109338,Accepted + Wait,2012-04-06 10:09:19+01:00
1-532109338,Accepted + In Progress,2012-05-04 08:29:15+01:00
1-532109338,Completed + Resolved,2012-05-04 08:30:26+01:00
1-532109338,Completed + Closed,2012-05-12 00:21:28+01:00
1-536444735,Accepted + In Progress,2011-06-24 13:23:13+01:00
